transaction_date,amount,category,description
2026-05-31,1000000,Service,Akun CASH | SERVIS
2026-06-01,450000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-01,810000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-02,8290000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-02,860000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-02,750000,Service,Akun CASH | SERVIS
2026-06-03,6200000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-03,880000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-04,730000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-04,690000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-05,28585000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-05,25000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-05,5200000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-05,1200000,Service,Akun CASH | SERVIS
2026-06-06,16125000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-06,6000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-06,2618000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-06,3450000,Service,Akun CASH | SERVIS
2026-06-07,16510000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-07,1934000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-08,13230000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-08,824000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-08,1700000,Service,Akun CASH | SERVIS
2026-06-09,3055000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-09,1453000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-10,7860000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-10,10000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-10,840000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-11,9395000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-11,30000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-11,1450000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-12,12860000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-12,90000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-12,1225000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-12,600000,Service,Akun CASH | SERVIS
2026-06-13,11655000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-13,20000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-13,1005000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-13,500000,Service,Akun CASH | SERVIS
2026-06-14,10680000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-14,20000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-14,1258000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-14,600000,Service,Akun CASH | SERVIS
2026-06-15,23150000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-15,10000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-15,1565000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-15,2150000,Service,Akun CASH | SERVIS
2026-06-16,3980000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-16,15000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-16,1238000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-16,600000,Service,Akun CASH | SERVIS
2026-06-17,10115000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-17,15000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-17,1206000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-18,13890000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-18,1648000,Penjualan Pulsa,Akun CASH | Pulsa
2026-06-18,2750000,Penjualan HP,Akun CASH | HP SEKEN
2026-06-19,2680000,Penjualan HP,Akun CASH | Penjualan HP ACC
2026-06-19,25000,Penjualan HP,Akun CASH | Penjualan HP ACC
