transaction_date,amount,category,description
2026-06-01,50000,Operasional,BENSIN
2026-06-02,240000,Sparepart,
2026-06-02,50000,Roni,
2026-06-02,45000,Uki,
2026-06-02,100000,Hasmin,
2026-06-03,45000,Sparepart,
2026-06-03,50000,Roni,
2026-06-03,130000,Uki,
2026-06-04,50000,Roni,
2026-06-04,33000,Uki,
2026-06-05,270000,Sparepart,
2026-06-05,50000,Uki,
2026-06-06,670000,Sparepart,
2026-06-06,50000,Uki,
2026-06-06,100000,Operasional,BAYAR SAMPAH
2026-06-06,18000,Operasional,SUNLIGHT
2026-06-07,250000,Uki,
2026-06-07,50000,Operasional,ONGKIR
2026-06-07,210000,Listrik,
2026-06-08,570000,Sparepart,
2026-06-08,50000,Uki,
2026-06-08,50000,Operasional,BENSIN
2026-06-10,90000,Uki,
2026-06-12,140000,Sparepart,
2026-06-12,50000,Roni,
2026-06-12,175000,Uki,
2026-06-13,130000,Sparepart,
2026-06-13,5000,Roni,
2026-06-14,160000,Sparepart,
2026-06-14,20000,Roni,
2026-06-14,38000,Operasional,BENSIN
2026-06-15,535000,Sparepart,
2026-06-15,20000,Roni,
2026-06-15,200000,Uki,
2026-06-15,30000,Operasional,BENSIN
2026-06-15,210000,Listrik,
2026-06-16,145000,Sparepart,
2026-06-16,105000,Roni,
2026-06-16,120000,Uki,
2026-06-17,25000,Roni,
2026-06-17,220000,Uki,
2026-06-18,47000,Roni,
2026-06-19,20000,Roni,
2026-06-20,37000,Uki,
2026-06-20,567000,Operasional,WIFI
2026-06-21,315000,Sparepart,
2026-06-21,127000,Uki,
2026-06-22,25000,Sparepart,
2026-06-22,50000,Uki,
2026-06-23,40000,Roni,
2026-06-23,60000,Uki,
2026-06-23,30000,Hasmin,
2026-06-23,50000,Operasional,BENSIN
2026-06-23,210000,Listrik,
2026-06-24,50000,Roni,
2026-06-24,50000,Uki,
2026-06-25,100000,Roni,
2026-06-25,50000,Uki,
2026-06-26,100000,Roni,
2026-06-26,25000,Uki,
2026-06-27,50000,Operasional,ONGKIR
2026-06-28,130000,Sparepart,
2026-06-28,20000,Uki,
2026-06-28,50000,Operasional,BENSIN
2026-06-29,240000,Sparepart,
2026-06-29,15000,Roni,
2026-06-29,40000,Uki,
2026-06-29,50000,Operasional,ONGKIR
2026-06-30,37000,Roni,
2026-06-30,80000,Uki,
2026-06-30,210000,Listrik,
